Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT	AFF+MAF  hiện tại	AFF+MAF  2030	CN hiện có	CN cần có	SLCN	Thị trường thừa/ thiếu	Mật độ Aff+Maf	TỈNH	GHÉP ĐVHC
Long Hương	85	Phường	31457	41	763	Phường Kim Dinh (TP. Bà Rịa), Phường Long Hương (TP. Bà Rịa), Xã Tân Hưng (TP. Bà Rịa)		phường Bà Rịa, phường Tam Long, phường Tân Hải, phường Phước Thắng, xã Long Sơn, xã Châu Pha và xã Nghĩa Thành	Đường Trịnh Đình Thảo, phường Long Hương	10,505637	107,133747	823683968	7.708	10.145	0	0	0	Đủ CN	188	Thành phố Hồ Chí Minh	Long HươngThành phố Hồ Chí Minh
Tân An Hội	119	Xã	84342	54	1576	Xã Phước Hiệp (H. Củ Chi), Xã Tân An Hội (H. Củ Chi), Thị trấn Củ Chi (H. Củ Chi)		xã Củ Chi, xã Thái Mỹ, xã Nhuận Đức và tỉnh Tây Ninh	Số 77 Tỉnh lộ 8, xã Tân An Hội	10,973855	106,493898	901404999	18.030	23.742	0	1	(1)	Thiếu CN	334	Thành phố Hồ Chí Minh	Tân An HộiThành phố Hồ Chí Minh
Bình Chánh	21	Xã	76187	21	3572	Xã Bình Chánh (H. Bình Chánh), Xã Tân Quý Tây (H. Bình Chánh)	Xã An Phú Tây (H. Bình Chánh)	xã Tân Nhựt, xã Bình Hưng, xã Hưng Long, phường Bình Đông và tỉnh Tây Ninh	Số 345, đường Trịnh Như Khuê, xã Bình Chánh	10,663042	106,567246	901481788	9.085	12.049	0	0	0	Đủ CN	433	Thành phố Hồ Chí Minh	Bình ChánhThành phố Hồ Chí Minh
Củ Chi	55	Xã	128661	65	1983	Xã Tân Phú Trung (H. Củ Chi), Xã Tân Thông Hội (H. Củ Chi), Xã Phước Vĩnh An (H. Củ Chi)		xã Tân An Hội, xã Nhuận Đức, xã Phú Hoà Đông, xã Hóc Môn, xã Xuân Thới Sơn và tỉnh Tây Ninh	Số 342 Phan Văn Khải, ấp Đình, xã Củ Chi	10,940034	106,539751	907279579	27.504	36.218	1	1	0	Đủ CN	423	Thành phố Hồ Chí Minh	Củ ChiThành phố Hồ Chí Minh
Nhuận Đức	96	Xã	40239	62	648	Xã Nhuận Đức (H. Củ Chi), Xã Trung Lập Hạ (H. Củ Chi), Xã Phạm Văn Cội (H. Củ Chi)		xã Thái Mỹ, xã Tân An Hội, xã Củ Chi, xã Phú Hoà Đông, xã An Nhơn Tây và phường Tây Nam	Số 1A Bà Thiên, ấp Ngã Tư, xã Nhuận Đức	11,034097	106,487063	908169934	8.601	11.327	0	0	0	Đủ CN	139	Thành phố Hồ Chí Minh	Nhuận ĐứcThành phố Hồ Chí Minh
Tân Nhựt	129	Xã	115513	44	2645	Xã Tân Nhựt (H. Bình Chánh), Thị trấn Tân Túc (H. Bình Chánh)	Xã Tân Kiên (H. Bình Chánh), Phường Tân Tạo A (Quận Bình Tân), Phường 16 (Quận 8)	xã Bình Lợi, xã Bình Chánh, phường Phú Định, phường Bình Đông, phường An Lạc, phường Tân Tạo và tỉnh Tây Ninh	Số 79, đường Tân Túc, xã Tân Nhựt	10,690017	106,584371	908856970	13.759	18.249	0	1	(1)	Thiếu CN	313	Thành phố Hồ Chí Minh	Tân NhựtThành phố Hồ Chí Minh
Hưng Long	76	Xã	71504	36	2012	Xã Hưng Long (H. Bình Chánh), Xã Qui Đức (H. Bình Chánh), Xã Đa Phước (H. Bình Chánh)		xã Bình Chánh, xã Bình Hưng, xã Hiệp Phước và tỉnh Tây Ninh	Số 564 Đoàn Nguyễn Tuấn, xã Hưng Long	10,650245	106,624569	909501338	8.526	11.308	0	0	0	Đủ CN	237	Thành phố Hồ Chí Minh	Hưng LongThành phố Hồ Chí Minh
Tân Vĩnh Lộc	141	Xã	163839	34	4812	Xã Vĩnh Lộc B (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh), Phường Tân Tạo (Quận Bình Tân)	xã Vĩnh Lộc, xã Bình Lợi, phường Bình Tân và tỉnh Tây Ninh	Số 2206 đường Trần Văn Giàu, xã Tân Vĩnh Lộc	10,798364	106,560551	909539800	19.588	25.981	0	1	(1)	Thiếu CN	576	Thành phố Hồ Chí Minh	Tân Vĩnh LộcThành phố Hồ Chí Minh
An Nhơn Tây	8	Xã	40896	78	526	Xã Phú Mỹ Hưng (H. Củ Chi), Xã An Phú (H. Củ Chi), Xã An Nhơn Tây (H. Củ Chi)		xã Thái Mỹ, xã Nhuận Đức, phường Tây Nam và tỉnh Tây Ninh	Số 1407 Tỉnh lộ 7, ấp Chợ Củ 2, xã An Nhơn Tây	11,087474	106,512721	913133727	8.743	11.513	0	0	0	Đủ CN	112	Thành phố Hồ Chí Minh	An Nhơn TâyThành phố Hồ Chí Minh
Hồ Tràm	69	Xã	51895	95	549	Thị trấn Phước Bửu, Xã Phước Tân, Xã Phước Thuận (H. Xuyên Mộc)		xã Phước Hải, xã Đất Đỏ, xã Xuân Sơn, xã Hoà Hội, xã Xuyên Mộc và Biển Đông	Hẻm 147, Quốc lộ 55, xã Hồ Tràm	10,537909	107,406314	918509160	6.569	8.618	0	0	0	Đủ CN	69	Thành phố Hồ Chí Minh	Hồ TràmThành phố Hồ Chí Minh
Tân Đông Hiệp	122	Phường	100243	21	4669	Phường Tân Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An), Phường Thái Hoà (TP. Tân Uyên)	phường An Phú, phường Dĩ An, phường Đông Hoà, phường Tân Khánh và tỉnh Đồng Nai	Số 880, đường Nguyễn Thị Minh Khai, phường Tân Đông Hiệp	10,936795	106,766130	918699011	16.698	21.851	0	1	(1)	Thiếu CN	795	Thành phố Hồ Chí Minh	Tân Đông HiệpThành phố Hồ Chí Minh
Vĩnh Lộc	160	Xã	167521	31	5484	Xã Vĩnh Lộc A (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh)	xã Tân Vĩnh Lộc, phường Bình Tân, xã Bà Điểm, xã Xuân Thới Sơn và tỉnh Tây Ninh	F7/16 Hương lộ 80, xã Vĩnh Lộc	10,813460	106,578622	919389207	19.918	26.418	0	1	(1)	Thiếu CN	643	Thành phố Hồ Chí Minh	Vĩnh LộcThành phố Hồ Chí Minh
Bình Hưng	28	Xã	183697	33	5631	Xã Bình Hưng (H. Bình Chánh), Xã Phong Phú (H. Bình Chánh)	Phường 7 (Quận 8)	xã Hưng Long, xã Bình Chánh, xã Tân Nhựt, phường Chánh Hưng, phường Bình Đông, phường Tân Hưng, xã Nhà Bè, xã Hiệp Phước	A10/26A đường Số 10, Khu dân cư Bình Hưng, xã Bình Hưng	10,720010	106,670396	931869938	21.907	29.057	1	1	0	Đủ CN	664	Thành phố Hồ Chí Minh	Bình HưngThành phố Hồ Chí Minh
Bình Lợi	31	Xã	47180	54	871	Xã Bình Lợi (H. Bình Chánh), Xã Lê Minh Xuân (H. Bình Chánh)		xã Tân Vĩnh Lộc, xã Tân Nhựt, phường Bình Tân, phường Tân Tạo và tỉnh Tây Ninh	Số 1905, đường Trần Văn Giàu, xã Bình Lợi	10,777358	106,537505	937048567	5.626	7.462	0	0	0	Đủ CN	104	Thành phố Hồ Chí Minh	Bình LợiThành phố Hồ Chí Minh
Chánh Phú Hòa	49	Phường	53916	70	775	Phường Chánh Phú Hoà (TP. Bến Cát), Xã Hưng Hoà (H. Bàu Bàng)		phường Vĩnh Tân, phường Bến Cát, phường Hoà Lợi, phường Thới Hoà, xã Phước Hoà và xã An Long	Đường Nguyễn Văn Thành, phường Chánh Phú Hòa	11,144099	106,669886	938882779	5.119	6.677	0	0	0	Đủ CN	73	Thành phố Hồ Chí Minh	Chánh Phú HòaThành phố Hồ Chí Minh
Phú Hòa Đông	100	Xã	97766	60	1636	Xã Tân Thạnh Tây (H. Củ Chi), Xã Tân Thạnh Đông (H. Củ Chi), Xã Phú Hoà Đông (H. Củ Chi)		xã Bình Mỹ, xã Củ Chi, xã Nhuận Đức, xã Xuân Thới Sơn, phường Tây Nam và phường Phú An	Số 269 Tỉnh lộ 8, ấp 2A, xã Phú Hòa Đông	10,984888	106,559347	964793096	20.900	27.521	0	1	(1)	Thiếu CN	348	Thành phố Hồ Chí Minh	Phú Hòa ĐôngThành phố Hồ Chí Minh
Phú Giáo	99	Xã	42739	193	222	Xã An Bình (H. Phú Giáo), Thị trấn Phước Vĩnh (H. Phú Giáo)	Xã Tam Lập (H. Phú Giáo)	xã Phước Thành, xã Phước Hoà, xã Bắc Tân Uyên và tỉnh Đồng Nai	Số 16A, đường Trần Quang Diệu, xã Phú Giáo	11,294679	106,795069	964809126	3.553	4.708	0	0	0	Đủ CN	18	Thành phố Hồ Chí Minh	Phú GiáoThành phố Hồ Chí Minh
Thường Tân	156	Xã	21238	121	176	Xã Thường Tân (H. Bắc Tân Uyên), Xã Lạc An (H. Bắc Tân Uyên), Xã Hiếu Liêm (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	xã Bắc Tân Uyên, phường Tân Uyên và tỉnh Đồng Nai	Đường ĐT746, ấp 4, xã Thường Tân	11,028004	106,865316	976643121	6.376	8.367	0	0	0	Đủ CN	53	Thành phố Hồ Chí Minh	Thường TânThành phố Hồ Chí Minh
Phước Thành	113	Xã	15803	123	128	Xã An Thái (H. Phú Giáo), Xã Phước Sang (H. Phú Giáo), Xã Tân Hiệp (H. Phú Giáo)		xã Phú Giáo, xã Phước Hoà, xã An Long và tỉnh Đồng Nai	Đường ĐH508, xã Phước Thành	11,361269	106,771535	986754606	1.313	1.741	0	0	0	Đủ CN	11	Thành phố Hồ Chí Minh	Phước ThànhThành phố Hồ Chí Minh
Thủ Dầu Một	152	Phường	88132	16	5621	Phường Phú Cường (TP. Thủ Dầu Một), Phường Phú Thọ (TP. Thủ Dầu Một), Phường Chánh Nghĩa (TP. Thủ Dầu Một)	Phường Hiệp Thành (TP. Thủ Dầu Một), Phường Chánh Mỹ (TP. Thủ Dầu Một)	phường Phú Lợi, phường Thuận An, phường Chánh Hiệp, phường Thuận Giao và xã Bình Mỹ	Số 01, đường Quang Trung, phường Thủ Dầu Một	10,980546	106,651957	1900866665	18.340	24.263	0	1	(1)	Thiếu CN	1146	Thành phố Hồ Chí Minh	Thủ Dầu MộtThành phố Hồ Chí Minh
Vũng Tàu	162	Phường	117413	17	6964	Phường 1 (TP. Vũng Tàu), Phường 2 (TP. Vũng Tàu), Phường 3 (TP. Vũng Tàu), Phường 4 (TP. Vũng Tàu), Phường 5 (TP. Vũng Tàu), Phường Thắng Nhì (TP. Vũng Tàu), Phường Thắng Tam (TP. Vũng Tàu)		phường Tam Thắng và Biển Đông	Số 89 Lý Thường Kiệt, Phường 1, phường Vũng Tàu	10,350259	107,076291	2543511928	39.221	51.720	1	2	(1)	Thiếu CN	2307	Thành phố Hồ Chí Minh	Vũng TàuThành phố Hồ Chí Minh
Tam Thắng	118	Phường	86420	12	7349	Phường 7, Phường 8, Phường 9, Phường Nguyễn An Ninh (TP. Vũng Tàu)		phường Rạch Dừa, phường Vũng Tàu và biển Đông	Số 603 đường Nguyễn An Ninh, phường Tam Thắng	10,361761	107,095681	2543583366	28.871	38.072	2	1	1	Thừa CN	2406	Thành phố Hồ Chí Minh	Tam ThắngThành phố Hồ Chí Minh
Hòa Hiệp	71	Xã	25995	99	262	Xã Hoà Hiệp (H. Xuyên Mộc) (giữ nguyên)		xã Bàu Lâm, xã Hoà Hội, xã Bình Châu và tỉnh Lâm Đồng	Tỉnh lộ 329, ấp Phú Bình, xã Hòa Hiệp	10,689117	107,500480	2543784254	3.291	4.316	0	0	0	Đủ CN	33	Thành phố Hồ Chí Minh	Hòa HiệpThành phố Hồ Chí Minh
Long Sơn	88	Xã	17767	57	314	Xã Long Sơn (TP. Vũng Tàu) (giữ nguyên)		phường Phước Thắng, phường Long Hương, phường Tân Hải và Biển Đông	Thôn 1, xã Long Sơn	10,463689	107,084246	2543844005	5.933	7.824	0	0	0	Đủ CN	104	Thành phố Hồ Chí Minh	Long SơnThành phố Hồ Chí Minh
Bình Châu	22	Xã	26054	87	299	Xã Bình Châu (H. Xuyên Mộc) (giữ nguyên)		xã Xuyên Mộc, xã Hoà Hội, xã Hoà Hiệp, tỉnh Lâm Đồng và Biển Đông	Quốc lộ 55, ấp Láng Găng, xã Bình Châu	10,560390	107,541126	2543871137	3.298	4.326	0	0	0	Đủ CN	38	Thành phố Hồ Chí Minh	Bình ChâuThành phố Hồ Chí Minh
Xuyên Mộc	168	Xã	26917	103	261	Xã Bông Trang, Xã Xuyên Mộc, Xã Bưng Riềng (H. Xuyên Mộc)		xã Bình Châu, xã Hoà Hội, xã Hồ Tràm và Biển Đông	Quốc lộ 55, ấp Trang Hoàng, xã Xuyên Mộc	10,553251	107,455475	2543878337	3.408	4.470	0	0	0	Đủ CN	33	Thành phố Hồ Chí Minh	Xuyên MộcThành phố Hồ Chí Minh
