Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT	AFF+MAF  hiện tại	AFF+MAF  2030	CN hiện có	CN cần có	SLCN	Thị trường thừa/ thiếu	Mật độ Aff+Maf	TỈNH	GHÉP ĐVHC
Lái Thiêu	79	Phường	118852	15	7688	Phường Lái Thiêu (TP. Thuận An), Phường Bình Nhâm (TP. Thuận An)	Phường Vĩnh Phú (TP. Thuận An)	phường Bình Hoà, phường Thuận An, phường Thuận Giao, phường An Phú Đông và xã Đông Thạnh	Đường Phan Đình Phùng, phường Lái Thiêu	10,905091	106,699615	2743787357	25.464	33.387	1	1	0	Đủ CN	1698	Thành phố Hồ Chí Minh	Lái ThiêuThành phố Hồ Chí Minh
Bình Dương	25	Phường	107576	58	1850	Phường Hoà Phú (TP. Thủ Dầu Một), Phường Phú Mỹ (TP. Thủ Dầu Một), Phường Phú Tân (TP. Thủ Dầu Một), Phường Phú Chánh (TP. Tân Uyên)		phường Vĩnh Tân, phường Tân Hiệp, phường Tân Khánh, phường Hoà Lợi, phường Chánh Hiệp và phường Phú Lợi	Số 357, đường Võ Nguyên Giáp, phường Bình Dương	11,070084	106,670694	2743815198	22.387	29.615	0	1	(1)	Thiếu CN	386	Thành phố Hồ Chí Minh	Bình DươngThành phố Hồ Chí Minh
Chánh Hiệp	47	Phường	57176	20	2875	Phường Định Hoà (TP. Thủ Dầu Một), Phường Tương Bình Hiệp (TP. Thủ Dầu Một)	Phường Hiệp An (TP. Thủ Dầu Một), Phường Chánh Mỹ (TP. Thủ Dầu Một)	phường Bình Dương, phường Phú Lợi, phường Thủ Dầu Một, phường Phú An, phường Hoà Lợi và xã Bình Mỹ	Số 279, đường Hồ Văn Cống, phường Chánh Hiệp	11,008997	106,633372	2743824243	11.735	15.523	0	0	0	Đủ CN	587	Thành phố Hồ Chí Minh	Chánh HiệpThành phố Hồ Chí Minh
Phú An	97	Phường	46142	35	1319	Xã Phú An (TP. Bến Cát), Phường Tân An (TP. Thủ Dầu Một)	Phường Hiệp An (TP. Thủ Dầu Một)	phường Chánh Hiệp, phường Hoà Lợi, phường Thới Hoà, phường Long Nguyên, phường Tây Nam, xã Phú Hoà Đông và xã Bình Mỹ	Số 143, đường Nguyễn Đức Cảnh, phường Phú An	11,026851	106,638019	2743888383	9.766	12.920	0	0	0	Đủ CN	279	Thành phố Hồ Chí Minh	Phú AnThành phố Hồ Chí Minh
Phú Lợi	102	Phường	107721	18	5998	Phường Phú Lợi (TP. Thủ Dầu Một), Phường Phú Hoà (TP. Thủ Dầu Một)	Phường Hiệp Thành (TP. Thủ Dầu Một)	phường Tân Khánh, phường Thuận Giao, phường Thủ Dầu Một, phường Chánh Hiệp, phường Thuận An và phường Bình Dương	Số 438, đường Phú Lợi, phường Phú Lợi	10,984287	106,681245	2743904872	22.417	29.656	2	2	0	Đủ CN	1245	Thành phố Hồ Chí Minh	Phú LợiThành phố Hồ Chí Minh
Chánh Hưng	48	Phường	190707	5	41368	Phường Rạch Ông (Quận 8), Phường Hưng Phú (Quận 8), Phường 4 (Quận 8)	Phường 5 (Quận 8)	phường Bình Đông, phường Phú Định, phường Chợ Quán, phường An Đông, phường Tân Hưng, phường Vĩnh Hội và xã Bình Hưng	Trụ sở chính: 39 Dương Bạch Mai, phường Chánh Hưng; - Điểm tiếp nhận thứ nhất: 210-212 Âu Dương Lân, phường Chánh Hưng; - Điểm tiếp nhận thứ hai: 625-625A Hưng Phú, phường Chánh Hưng;	10,740399	106,665774	2822206789	23.819	31.601	1	1	0	Đủ CN	4764	Thành phố Hồ Chí Minh	Chánh HưngThành phố Hồ Chí Minh
Bình Lợi Trung	32	Phường	116121	4	29851	Phường 5 (Quận Bình Thạnh), Phường 11 (Quận Bình Thạnh), Phường 13 (Quận Bình Thạnh)		phường Bình Thạnh, phường Hiệp Bình, phường An Phú Đông, phường Hạnh Thông, phường An Nhơn và phường Đức Nhuận	Số 355/5 Nơ Trang Long, phường Bình Lợi Trung	10,820454	106,702458	2835533088	33.449	44.536	1	1	0	Đủ CN	8362	Thành phố Hồ Chí Minh	Bình Lợi TrungThành phố Hồ Chí Minh
Bình Quới	35	Phường	46200	6	7287	Phường 27 (Quận Bình Thạnh), Phường 28 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Hiệp Bình, phường Thủ Đức, phường An Khánh	Số 1 khu hành chính Thanh Đa, phường Bình Quới	10,815532	106,720580	2835566641	13.309	17.719	0	0	0	Đủ CN	2218	Thành phố Hồ Chí Minh	Bình QuớiThành phố Hồ Chí Minh
Thông Tây Hội	151	Phường	121192	3	37405	Phường 8 (Quận Gò Vấp), Phường 11 (Quận Gò Vấp)		phường An Hội Tây, phường Gò Vấp, phường An Hội Đông và phường Tân Sơn	Số 175 Nguyễn Văn Khối, phường Thông Tây Hội	10,834552	106,664189	2835899733	23.637	31.458	0	1	(1)	Thiếu CN	7879	Thành phố Hồ Chí Minh	Thông Tây HộiThành phố Hồ Chí Minh
Nhà Bè	94	Xã	125832	37	3392	Thị trấn Nhà Bè, Xã Phú Xuân, Xã Phước Kiển, Xã Phước Lộc (H. Nhà Bè)		xã Hiệp Phước, phường Phú Thuận, phường Tân Hưng, phường Tân Mỹ, xã Bình Hưng và tỉnh Đồng Nai	Số 330 Nguyễn Bình, xã Nhà Bè	10,674390	106,732963	2836222444	22.829	30.295	2	1	1	Thừa CN	617	Thành phố Hồ Chí Minh	Nhà BèThành phố Hồ Chí Minh
Đức Nhuận	63	Phường	71495	2	32947	Phường 4 (Quận Phú Nhuận), Phường 5 (Quận Phú Nhuận), Phường 9 (Quận Phú Nhuận)		phường Cầu Kiệu, phường Phú Nhuận, phường Tân Sơn Hoà, phường Hạnh Thông, phường Bình Lợi Trung và phường Gia Định	Số 744 Nguyễn Kiệm, phường Đức Nhuận	10,803897	106,684772	2836367113	27.251	36.244	0	1	(1)	Thiếu CN	13626	Thành phố Hồ Chí Minh	Đức NhuậnThành phố Hồ Chí Minh
Trung Mỹ Tây	158	Phường	126470	7	18250	Phường Trung Mỹ Tây (Quận 12), Phường Tân Chánh Hiệp (Quận 12)		phường Đông Hưng Thuận, phường Tân Thới Hiệp, xã Bà Điểm, xã Đông Thạnh	Số 036, phường Trung Mỹ Tây	10,847348	106,616400	2837157559	22.950	30.511	0	1	(1)	Thiếu CN	3279	Thành phố Hồ Chí Minh	Trung Mỹ TâyThành phố Hồ Chí Minh
Tân Thới Hiệp	138	Phường	168060	8	20851	Phường Hiệp Thành (Quận 12), Phường Tân Thới Hiệp (Quận 12)		phường Trung Mỹ Tây, phường Thới An, phường An Hội Tây và xã Đông Thạnh	Số 226 Trương Thị Hoa, phường Tân Thới Hiệp	10,866995	106,642005	2837171423	30.498	40.546	0	1	(1)	Thiếu CN	3812	Thành phố Hồ Chí Minh	Tân Thới HiệpThành phố Hồ Chí Minh
Thới An	149	Phường	125657	15	8433	Phường Thới An (Quận 12), Phường Thạnh Xuân (Quận 12)		phường An Phú Đông, phường Tân Thới Hiệp, phường An Hội Đông, phường An Hội Tây và xã Đông Thạnh	Số 340 Lê Văn Khương, phường Thới An	10,875493	106,649485	2837173560	22.802	30.316	0	1	(1)	Thiếu CN	1520	Thành phố Hồ Chí Minh	Thới AnThành phố Hồ Chí Minh
Bình Hưng Hòa	29	Phường	187950	8	22190	Phường Bình Hưng Hoà (Quận Bình Tân)	Phường Bình Hưng Hoà A (Quận Bình Tân), Phường Sơn Kỳ (Quận Tân Phú)	phường Bình Tân, phường Bình Trị Đông, phường Đông Hưng Thuận, phường Tây Thạnh, phường Tân Sơn Nhì, phường Phú Thọ Hoà và phường Phú Thạnh	Số 621 Tân Kỳ Tân Quý, phường Bình Hưng Hòa	10,794221	106,610162	2837503732	31.896	42.436	0	1	(1)	Thiếu CN	3987	Thành phố Hồ Chí Minh	Bình Hưng HòaThành phố Hồ Chí Minh
Bình Phú	34	Phường	75925	3	26547	Phường 10 (Quận 6), Phường 11 (Quận 6)	Phường 16 (Quận 8)	phường Bình Tiên, phường Phú Lâm, phường Bình Tây, phường An Lạc, phường Phú Định	Số 15 Chợ Lớn, phường Bình Phú	10,745922	106,634088	2837551430	12.007	15.883	1	0	1	Thừa CN	4002	Thành phố Hồ Chí Minh	Bình PhúThành phố Hồ Chí Minh
Bình Tân	36	Phường	161851	11	14387	Phường Bình Hưng Hoà B (Quận Bình Tân)	Phường Bình Trị Đông A (Quận Bình Tân), Phường Tân Tạo (Quận Bình Tân)	phường Tân Tạo, phường Bình Hưng Hoà, phường Bình Trị Đông, xã Vĩnh Lộc, xã Tân Vĩnh Lộc, xã Bình Lợi và xã Bà Điểm	Số 43 đường Số 16, phường Bình Tân	10,813208	106,593829	2837652524	52.704	69.863	0	1	(1)	Thiếu CN	4791	Thành phố Hồ Chí Minh	Bình TânThành phố Hồ Chí Minh
Hiệp Phước	68	Xã	67754	63	1070	Xã Nhơn Đức (H. Nhà Bè), Xã Long Thới (H. Nhà Bè), Xã Hiệp Phước (H. Nhà Bè)		xã Nhà Bè, xã Hưng Long, xã Bình Khánh, xã An Thới Đông và tỉnh Tây Ninh	Số 209 Nguyễn Văn Tạo, xã Hiệp Phước	10,656244	106,729005	2837801716	12.293	16.312	0	0	0	Đủ CN	195	Thành phố Hồ Chí Minh	Hiệp PhướcThành phố Hồ Chí Minh
Sài Gòn	115	Phường	47022	3	15468	Phường Bến Nghé (Quận 1)	Phường Đa Kao (Quận 1), Phường Nguyễn Thái Bình (Quận 1)	phường Tân Định, phường Bến Thành, phường Cầu Ông Lãnh, phường Thạnh Mỹ Tây, phường An Khánh, phường Xuân Hoà	Số 45 - 47 Lê Duẩn, phường Sài Gòn	10,780631	106,699298	2838234223	56.805	75.379	2	1	1	Thừa CN	18935	Thành phố Hồ Chí Minh	Sài GònThành phố Hồ Chí Minh
Vĩnh Hội	159	Phường	63015	1	53859	Phường 1 (Quận 4), Phường 3 (Quận 4)	Phường 2 (Quận 4), Phường 4 (Quận 4)	phường Khánh Hội, phường Cầu Ông Lãnh, phường Chợ Quán, phường Chánh Hưng, phường Tân Hưng	Số 130 đường 46, phường Vĩnh Hội	10,759072	106,698047	2838261566	17.285	22.873	0	1	(1)	Thiếu CN	17285	Thành phố Hồ Chí Minh	Vĩnh HộiThành phố Hồ Chí Minh
Bến Thành	20	Phường	71875	2	38851	Phường Bến Thành (Quận 1), Phường Phạm Ngũ Lão (Quận 1)	Phường Cầu Ông Lãnh (Quận 1), Phường Nguyễn Thái Bình (Quận 1)	phường Sài Gòn, phường Cầu Ông Lãnh, phường Xuân Hoà, phường Bàn Cờ, phường Xóm Chiếu, phường Khánh Hội	Số 92 Nguyễn Trãi, phường Bến Thành	10,770185	106,691297	2838390856	86.829	115.220	0	1	(1)	Thiếu CN	43415	Thành phố Hồ Chí Minh	Bến ThànhThành phố Hồ Chí Minh
Cầu Ông Lãnh	46	Phường	78734	2	49209	Phường Nguyễn Cư Trinh (Quận 1), Phường Cầu Kho (Quận 1), Phường Cô Giang (Quận 1)	Phường Cầu Ông Lãnh (Quận 1)	phường Bến Thành, phường Bàn Cờ, phường Chợ Quán, phường Khánh Hội, phường Vĩnh Hội	Số 105 Trần Đình Xu, phường Cầu Ông Lãnh	10,762380	106,688323	2838395783	95.115	126.215	0	1	(1)	Thiếu CN	47558	Thành phố Hồ Chí Minh	Cầu Ông LãnhThành phố Hồ Chí Minh
Bàn Cờ	15	Phường	67616	1	68299	Phường 1 (Quận 3), Phường 2 (Quận 3), Phường 3 (Quận 3), Phường 5 (Quận 3)	Phường 4 (Quận 3)	phường Xuân Hoà, phường Vười Lài, phường Bến Thành, phường Cầu Ông Lãnh, phường Chợ Quán	Số 611/20 Điện Biên Phủ (Số cũ 611C), phường Bàn Cờ	10,768505	106,677129	2838396136	38.883	51.650	2	1	1	Thừa CN	38883	Thành phố Hồ Chí Minh	Bàn CờThành phố Hồ Chí Minh
Thạnh Mỹ Tây	148	Phường	153216	4	34822	Phường 19 (Quận Bình Thạnh), Phường 22 (Quận Bình Thạnh), Phường 25 (Quận Bình Thạnh)		phường Gia định, phường Bình Thạnh, phường Bình Quới, phường An Khánh và phường Sài Gòn	Số 85/16 Phạm Viết Chánh, phường Thạnh Mỹ Tây	10,797969	106,717900	2838404112	44.136	58.763	5	1	4	Thừa CN	11034	Thành phố Hồ Chí Minh	Thạnh Mỹ TâyThành phố Hồ Chí Minh
Gia Định	64	Phường	125946	3	45633	Phường 1 (Quận Bình Thạnh), Phường 2 (Quận Bình Thạnh), Phường 7 (Quận Bình Thạnh), Phường 17 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Bình Lợi Trung, phường Sài Gòn, phường Tân Định, phường Đức Nhuận và phường Cầu Kiệu	Số 98 Lê Lê Văn Duyệt, phường Gia Định	10,798783	106,696475	2838412019	36.280	48.304	4	1	3	Thừa CN	12093	Thành phố Hồ Chí Minh	Gia ĐịnhThành phố Hồ Chí Minh
Bình Thạnh	38	Phường	126300	3	38042	Phường 12 (Quận Bình Thạnh), Phường 14 (Quận Bình Thạnh), Phường 26 (Quận Bình Thạnh)		phường Gia Định, phường Bình Lợi Trung, phường Thạnh Mỹ Tây, phường Bình Quới	Số 6 Phan Đăng Lưu, phường Bình Thạnh	10,802824	106,696203	2838417902	36.382	48.440	2	1	1	Thừa CN	12127	Thành phố Hồ Chí Minh	Bình ThạnhThành phố Hồ Chí Minh
Phú Nhuận	104	Phường	68420	1	46863	Phường 8 (Quận Phú Nhuận), Phường 10 (Quận Phú Nhuận), Phường 11 (Quận Phú Nhuận), Phường 13 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Cầu Kiệu, phường Nhiêu Lộc, phường Xuân Hoà, phường Tân Sơn Hoà	Số 159 Nguyễn Văn Trỗi, phường Phú Nhuận	10,795195	106,675253	2838443921	26.079	34.685	2	1	1	Thừa CN	26079	Thành phố Hồ Chí Minh	Phú NhuậnThành phố Hồ Chí Minh
Tân Sơn Nhất	134	Phường	84639	3	26533	Phường 4 (Quận Tân Bình), Phường 5 (Quận Tân Bình), Phường 7 (Quận Tân Bình)		phường Tân Sơn Hoà, phường Bảy Hiền, phường Tân Hoà, phường Tân Sơn và phường Nhiêu Lộc	Số 25/4-6 Hoàng Việt, phường Tân Sơn Nhất	10,796968	106,659190	2838445063	30.685	40.780	3	1	2	Thừa CN	10228	Thành phố Hồ Chí Minh	Tân Sơn NhấtThành phố Hồ Chí Minh
Bình Tiên	40	Phường	91520	2	56845	Phường 1 (Quận 6), Phường 7 (Quận 6), Phường 8 (Quận 6)		phường Bình Tây, phường Phú Định, phường Bình Phú, phường Chợ Lớn	Số 107 Cao Văn Lầu, phường Bình Tiên	10,746603	106,649177	2838552700	14.474	19.145	1	1	0	Đủ CN	7237	Thành phố Hồ Chí Minh	Bình TiênThành phố Hồ Chí Minh
Minh Phụng	90	Phường	90808	1	71502	Phường 1 (Quận 11), Phường 7 (Quận 11), Phường 16 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Chợ Lớn, phường Bình Tây, phường Phú Lâm, phường Diên Hồng	Số 183 A Lý Nam Đế, phường Minh Phụng	10,762298	106,658956	2838553805	14.149	18.759	0	1	(1)	Thiếu CN	14149	Thành phố Hồ Chí Minh	Minh PhụngThành phố Hồ Chí Minh
Phú Định	98	Phường	150389	6	25708	Phường Xóm Củi (Quận 8), Phường 14 (Quận 8), Phường 15 (Quận 8)	Phường 16 (Quận 8)	phường Bình Đông, phường Bình Tiên, phường Bình Phú, phường Chánh Hưng, phường An Đông, phường Chợ Lớn, phường An Lạc và xã Tân Nhựt	Trụ sở chính: 184 Lưu Hữu Phước, phường Phú Định; - Điểm tiếp nhận thứ nhất: 942 Nguyễn Duy, phường Phú Định; - Điểm tiếp nhận thứ hai: 450 Phú Định, phường Phú Định	10,712373	106,623839	2838555565	18.782	24.920	0	1	(1)	Thiếu CN	3130	Thành phố Hồ Chí Minh	Phú ĐịnhThành phố Hồ Chí Minh
Bình Đông	24	Phường	155555	9	17419	Phường 6 (Quận 8)	Phường 7 (Quận 8), Phường 5 (Quận 8), Xã An Phú Tây (Huyện Bình Chánh)	phường Chánh Hưng, phường Phú Định, xã Tân Nhựt, xã Bình Chánh và xã Bình Hưng	Số 1094 Tạ Quang Bửu, phường Bình Đông	10,763909	106,614394	2838568756	19.525	25.904	1	1	0	Đủ CN	2169	Thành phố Hồ Chí Minh	Bình ĐôngThành phố Hồ Chí Minh
Bình Thới	39	Phường	76478	2	50314	Phường 3 (Quận 11), Phường 10 (Quận 11)	Phường 8 (Quận 11)	phường Minh Phụng, phường Phú Thọ, phường Hoà Bình, phường Phú Lâm, phường Tân Phú	Số 270 Bình Thới, phường Bình Thới	10,763878	106,643596	2838580500	10.613	14.072	0	0	0	Đủ CN	5307	Thành phố Hồ Chí Minh	Bình ThớiThành phố Hồ Chí Minh
Hòa Bình	70	Phường	69318	1	70733	Phường 5 (Quận 11), Phường 14 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Tân Phú, phường Tân Hoà	Số 347 Lạc Long Quân, phường Hòa Bình	10,770363	106,644533	2838600988	9.475	12.563	1	0	1	Thừa CN	9475	Thành phố Hồ Chí Minh	Hòa BìnhThành phố Hồ Chí Minh
Hòa Hưng	73	Phường	96414	3	37225	Phường 12 (Quận 10), Phường 13 (Quận 10), Phường 15 (Quận 10)	Phường 14 (Quận 10)	phường Diên Hồng, phường Vườn Lài, phường Nhiêu Lộc, phường Xuân Hoà và phường Tân Hoà	A8 Châu Thới, phường Hòa Hưng	10,780543	106,664332	2838646278	25.177	33.424	4	1	3	Thừa CN	8392	Thành phố Hồ Chí Minh	Hòa HưngThành phố Hồ Chí Minh
Phú Lâm	101	Phường	87513	2	43757	Phường 12 (Quận 6), Phường 13 (Quận 6), Phường 14 (Quận 6)		phường Bình Tiên, phường Bình Phú và phường Bình Tây, phường An Lạc, phường Bình Trị Đông, phường Phú Thạnh, phường Tân Phú, phường Minh Phụng, phường Bình Thới	Số 152 Đặng Nguyên Cẩn, phường Phú Lâm	10,754042	106,631474	2838754751	13.840	18.307	1	1	0	Đủ CN	6920	Thành phố Hồ Chí Minh	Phú LâmThành phố Hồ Chí Minh
Đông Hưng Thuận	61	Phường	182895	8	22142	Phường Tân Thới Nhất (Quận 12), Phường Tân Hưng Thuận (Quận 12), Phường Đông Hưng Thuận (Quận 12)		phường Trung Mỹ Tây, phường Tân Thới Hiệp, phường An Hội Tây, phường Tân Sơn, phường Bình Hưng Hoà, phường Tây Thạnh và xã Bà Điểm	Số 68, đường TTN14, phường Đông Hưng Thuận	10,825871	106,616144	2838833587	33.189	44.124	3	2	1	Thừa CN	4149	Thành phố Hồ Chí Minh	Đông Hưng ThuậnThành phố Hồ Chí Minh
Xuân Thới Sơn	167	Xã	103643	35	2944	Xã Xuân Thới Đông (H. Hóc Môn), Xã Xuân Thới Sơn (H. Hóc Môn), Xã Tân Thới Nhì (H. Hóc Môn)		xã Hóc Môn, xã Bà Điểm, xã Củ Chi và tỉnh Tây Ninh	Số 1A Lê Thị Kim, ấp 11, xã Xuân Thới Sơn	10,875501	106,579959	2838910467	13.993	18.578	0	1	(1)	Thiếu CN	400	Thành phố Hồ Chí Minh	Xuân Thới SơnThành phố Hồ Chí Minh
An Phú Đông	10	Phường	179115	15	12277	Phường An Phú Đông (Quận 12), Phường Thạnh Lộc (Quận 12)		phường Thới An, phường Hiệp Bình, phường Bình Lợi Trung, phường An Nhơn và phường Lái Thiêu, phường Bình Hoà	Số 540 Hà Huy Giáp, phường An Phú Đông	10,877692	106,678774	2838919001	32.504	43.212	0	1	(1)	Thiếu CN	2167	Thành phố Hồ Chí Minh	An Phú ĐôngThành phố Hồ Chí Minh
Thái Mỹ	145	Xã	49862	62	799	Xã Trung Lập Thượng (H. Củ Chi), Xã Thái Mỹ (H. Củ Chi), Xã Phước Thạnh (H. Củ Chi)		xã Tân An Hội, xã An Nhơn Tây, xã Nhuận Đức và tỉnh Tây Ninh	Số 712 Phan Văn Khải, ấp Phước Hưng, xã Thái Mỹ	11,004604	106,432222	2838929336	10.659	14.036	0	0	0	Đủ CN	172	Thành phố Hồ Chí Minh	Thái MỹThành phố Hồ Chí Minh
Gò Vấp	65	Phường	110850	3	39448	Phường 10 (Quận Gò Vấp), Phường 17 (Quận Gò Vấp)		phường Hạnh Thông, phường An Nhơn, phường Thông Tây Hội, phường An Hội Đông và phường Tân Sơn	Số 332 (Số cũ 19) Quang Trung, phường Gò Vấp	10,831922	106,669329	2838941929	21.621	28.773	4	1	3	Thừa CN	7207	Thành phố Hồ Chí Minh	Gò VấpThành phố Hồ Chí Minh
Hạnh Thông	66	Phường	128865	3	38239	Phường 1 (Quận Gò Vấp), Phường 3 (Quận Gò Vấp)		phường An Nhơn, phường Bình Lợi Trung, phường Đức Nhuận, phường Xuân Hoà, phường Tân Sơn	Số 306 (Số cũ 304) Nguyễn Văn Nghi, phường Hạnh Thông	10,820246	106,683115	2838946157	25.134	33.449	2	1	1	Thừa CN	8378	Thành phố Hồ Chí Minh	Hạnh ThôngThành phố Hồ Chí Minh
Tân Định	121	Phường	48524	1	39450	Phường Tân Định (Quận 1)	Phường Đa Kao (Quận 1)	phường Sài Gòn, phường Gia Định, phường Cầu Kiệu, phường Xuân Hoà, phường Phú Nhuận	Số 58B Nguyễn Đình Chiểu, phường Tân Định	10,788969	106,699869	2839102126	58.620	77.786	1	1	0	Đủ CN	58620	Thành phố Hồ Chí Minh	Tân ĐịnhThành phố Hồ Chí Minh
Nhiêu Lộc	95	Phường	88090	2	51515	Phường 9 (Quận 3), Phường 11 (Quận 3), Phường 12 (Quận 3), Phường 14 (Quận 3)		phường Xuân Hoà, phường Phú Nhuận, phường Tân Sơn Nhất, phường Vườn Lài, phường Hoà Hưng	Số 82 Bà Huyện Thanh Quan, phường Nhiêu Lộc	10,781567	106,682197	2839317313	50.643	67.271	1	1	0	Đủ CN	25322	Thành phố Hồ Chí Minh	Nhiêu LộcThành phố Hồ Chí Minh
Xuân Hòa	165	Phường	48464	2	21831	Phường Võ Thị Sáu (Quận 3)	Phường 4 (Quận 3)	phường Nhiêu Lộc, phường Bàn Cờ, phường Tân Định, phường Sài Gòn, phường Vườn Lài, phường Phú Nhuận	Số 99 Trần Quốc Thảo (Số cũ 101), phường Xuân Hòa	10,782806	106,686144	2839326868	27.862	37.011	3	1	2	Thừa CN	13931	Thành phố Hồ Chí Minh	Xuân HòaThành phố Hồ Chí Minh
Khánh Hội	77	Phường	94507	1	88324	Phường 8 (Quận 4), Phường 9 (Quận 4)	Phường 2 (Quận 4), Phường 4 (Quận 4), Phường 15 (Quận 4)	phường Xóm Chiếu, phường Vĩnh Hội và phường Tân Hưng, phường Bến Thành, phường Cầu Ông Lãnh	Số 531 Vĩnh Khánh, phường Khánh Hội	10,759572	106,700485	2839404977	25.924	34.305	2	1	1	Thừa CN	25924	Thành phố Hồ Chí Minh	Khánh HộiThành phố Hồ Chí Minh
Xóm Chiếu	164	Phường	57875	2	29832	Phường 13 (Quận 4), Phường 16 (Quận 4), Phường 18 (Quận 4)	Phường 15 (Quận 4)	phường Khánh Hội, phường Tân Thuận, phường Sài Gòn, phường Bến Thành và phường An Khánh	Số 18 Đoàn Như Hài, phường Xóm Chiếu	10,766330	106,705127	2839431124	15.876	21.008	0	1	(1)	Thiếu CN	7938	Thành phố Hồ Chí Minh	Xóm ChiếuThành phố Hồ Chí Minh
Bình Tây	37	Phường	63293	1	60279	Phường 2 (Quận 6), Phường 9 (Quận 6)		phường Bình Tiên, phường Bình Phú, phường Phú Lâm, phường Chợ Lớn, phường Minh Phụng	Số 154 Tháp Mười, phường Bình Tây	10,750568	106,653062	2839601096	10.010	13.240	2	1	1	Thừa CN	10010	Thành phố Hồ Chí Minh	Bình TâyThành phố Hồ Chí Minh
Cầu Kiệu	45	Phường	62663	1	50946	Phường 1 (Quận Phú Nhuận), Phường 2 (Quận Phú Nhuận), Phường 7 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Phú Nhuận, phường Tân Định, phường Gia Định	Số 458 Phan Xích Long, phường Cầu Kiệu	10,796314	106,679401	2839903742	23.884	31.767	1	1	0	Đủ CN	23884	Thành phố Hồ Chí Minh	Cầu KiệuThành phố Hồ Chí Minh
Dĩ An	58	Phường	227817	21	10656	Phường Dĩ An (TP. Dĩ An), Phường An Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An)	phường Đông Hoà, phường Bình Hoà, phường An Phú, phường Tân Đông Hiệp, phường Linh Xuân, phường Tam Bình	Đường Số 10, phường Dĩ An	10,891618	106,763031	789269979	61.086	80.298	0	2	(2)	Thiếu CN	2909	Thành phố Hồ Chí Minh	Dĩ AnThành phố Hồ Chí Minh
Phước Thắng	112	Phường	52589	47	1111	Phường 11, Phường 12 (TP. Vũng Tàu)		phường Long Hương, phường Bà Rịa, phường Rạch Dừa, xã Long Sơn, xã Long Điền, xã Long Hải và Biển Đông	Số 7A đường Nguyễn Gia Thiều, phường Phước Thắng	10,419079	107,155376	888800247	17.565	23.164	0	1	(1)	Thiếu CN	374	Thành phố Hồ Chí Minh	Phước ThắngThành phố Hồ Chí Minh
Tân Sơn	132	Phường	77229	10	7631		Phường 15 (Quận Tân Bình)	phường Tân Bình, phường Bảy Hiền, phường Tân Sơn Hoà, phường Tân Sơn Nhất, phường Hạnh Thông, phường Gò Vấp, phường Thông Tây Hội, phường An Hội Tây, phường Đông Hưng Thuận và phường Tây Thạnh	Số 822 (Số cũ 8/6) Trường Chinh, phường Tân Sơn	10,818499	106,631764	898899877	27.999	37.210	1	1	0	Đủ CN	2800	Thành phố Hồ Chí Minh	Tân SơnThành phố Hồ Chí Minh
Hóc Môn	75	Xã	93323	16	5680	Xã Tân Xuân (H. Hóc Môn), Xã Tân Hiệp (H. Hóc Môn), Thị trấn Hóc Môn (H. Hóc Môn)		xã Đông Thạnh, xã Xuân Thới Sơn, xã Bà Điểm, xã Củ Chi, xã Phú Hoà Đông, xã Bình Mỹ	Số 01, Lý Thường Kiệt, xã Hóc Môn	10,888064	106,594307	901345346	12.600	16.729	1	0	1	Thừa CN	788	Thành phố Hồ Chí Minh	Hóc MônThành phố Hồ Chí Minh
Long Phước	87	Phường	53092	34	1548	Phường Long Phước (TP. Thủ Đức), Phường Trường Thạnh (TP. Thủ Đức)		phường Long Bình, phường Long Trường, phường Tăng Nhơn Phú và tỉnh Đồng Nai	Số 239 Khu phố Long Thuận, phường Long Phước	10,809310	106,859600	901666611	15.899	21.083	0	1	(1)	Thiếu CN	468	Thành phố Hồ Chí Minh	Long PhướcThành phố Hồ Chí Minh
Tân Mỹ	128	Phường	68124	6	10562	Phường Tân Phú (Quận 7)	Phường Phú Mỹ (Quận 7)	phường Tân Thuận, phường Phú Thuận, phường Tân Hưng và xã Nhà Bè	Số 7 đường Tân Phú, Phường Tân Mỹ	10,732329	106,726639	902157779	22.034	29.282	3	2	1	Thừa CN	3672	Thành phố Hồ Chí Minh	Tân MỹThành phố Hồ Chí Minh
